,fecha,delito,conteo
227,2020-02-01,Homicidio culposo,108.0
228,2020-02-01,Homicidio doloso,98.0
229,2020-02-01,Lesiones culposas,445.0
230,2020-02-01,Lesiones dolosas,951.0
231,2020-02-01,Otros delitos contra la sociedad,23.0
232,2020-02-01,Otros delitos que atentan contra la libertad personal,500.0
233,2020-02-01,Otros delitos que atentan contra la vida y la integridad corporal,176.0
234,2020-02-01,Rapto,11.0
235,2020-02-01,Secuestro,13.0
236,2020-02-01,Tráfico de menores,1.0
237,2020-02-01,Trata de personas,11.0
238,2021-02-01,Corrupción de menores,147.0
239,2021-02-01,Extorsión,13.0
240,2021-02-01,Feminicidio,5.0
241,2021-02-01,Homicidio culposo,120.0
242,2021-02-01,Homicidio doloso,79.0
243,2021-02-01,Lesiones culposas,297.0
244,2021-02-01,Lesiones dolosas,641.0
245,2021-02-01,Otros delitos contra la sociedad,25.0
246,2021-02-01,Otros delitos que atentan contra la libertad personal,443.0
247,2021-02-01,Otros delitos que atentan contra la vida y la integridad corporal,99.0
248,2021-02-01,Rapto,11.0
249,2021-02-01,Secuestro,6.0
250,2021-02-01,Tráfico de menores,0.0
251,2021-02-01,Trata de personas,27.0
252,2022-02-01,Corrupción de menores,174.0
253,2022-02-01,Extorsión,13.0
254,2022-02-01,Feminicidio,14.0
255,2022-02-01,Homicidio culposo,91.0
256,2022-02-01,Homicidio doloso,84.0
257,2022-02-01,Lesiones culposas,482.0
258,2022-02-01,Lesiones dolosas,711.0
259,2022-02-01,Otros delitos contra la sociedad,21.0
260,2022-02-01,Otros delitos que atentan contra la libertad personal,408.0
261,2022-02-01,Otros delitos que atentan contra la vida y la integridad corporal,128.0
262,2022-02-01,Rapto,9.0
263,2022-02-01,Secuestro,10.0
264,2022-02-01,Tráfico de menores,0.0
265,2022-02-01,Trata de personas,32.0
266,2023-02-01,Corrupción de menores,169.0
267,2023-02-01,Extorsión,40.0
268,2023-02-01,Feminicidio,9.0
269,2023-02-01,Homicidio culposo,115.0
270,2023-02-01,Homicidio doloso,76.0
271,2023-02-01,Lesiones culposas,575.0
272,2023-02-01,Lesiones dolosas,1018.0
273,2023-02-01,Otros delitos contra la sociedad,18.0
274,2023-02-01,Otros delitos que atentan contra la libertad personal,666.0
275,2023-02-01,Otros delitos que atentan contra la vida y la integridad corporal,155.0
276,2023-02-01,Rapto,6.0
277,2023-02-01,Secuestro,18.0
278,2023-02-01,Tráfico de menores,0.0
279,2023-02-01,Trata de personas,19.0
280,2024-02-01,Corrupción de menores,189.0
281,2024-02-01,Extorsión,26.0
282,2024-02-01,Feminicidio,2.0
283,2024-02-01,Homicidio culposo,99.0
284,2024-02-01,Homicidio doloso,71.0
285,2024-02-01,Lesiones culposas,666.0
286,2024-02-01,Lesiones dolosas,1100.0
287,2024-02-01,Otros delitos contra la sociedad,30.0
288,2024-02-01,Otros delitos que atentan contra la libertad personal,623.0
289,2024-02-01,Otros delitos que atentan contra la vida y la integridad corporal,185.0
290,2024-02-01,Rapto,8.0
291,2024-02-01,Secuestro,3.0
292,2024-02-01,Tráfico de menores,1.0
293,2024-02-01,Trata de personas,26.0
294,2025-02-01,Corrupción de menores,212.0
295,2025-02-01,Extorsión,43.0
296,2025-02-01,Feminicidio,5.0
297,2025-02-01,Homicidio culposo,104.0
298,2025-02-01,Homicidio doloso,73.0
299,2025-02-01,Lesiones culposas,536.0
300,2025-02-01,Lesiones dolosas,1333.0
301,2025-02-01,Otros delitos contra la sociedad,27.0
302,2025-02-01,Otros delitos que atentan contra la libertad personal,608.0
303,2025-02-01,Otros delitos que atentan contra la vida y la integridad corporal,237.0
304,2025-02-01,Rapto,3.0
305,2025-02-01,Secuestro,7.0
306,2025-02-01,Tráfico de menores,0.0
307,2025-02-01,Trata de personas,26.0
308,2015-03-01,Corrupción de menores,129.0
309,2015-03-01,Extorsión,19.0
310,2015-03-01,Feminicidio,6.0
311,2015-03-01,Homicidio culposo,154.0
312,2015-03-01,Homicidio doloso,56.0
313,2015-03-01,Lesiones culposas,583.0
314,2015-03-01,Lesiones dolosas,791.0
315,2015-03-01,Otros delitos contra la sociedad,5.0
316,2015-03-01,Otros delitos que atentan contra la libertad personal,213.0
317,2015-03-01,Otros delitos que atentan contra la vida y la integridad corporal,91.0
318,2015-03-01,Rapto,16.0
319,2015-03-01,Secuestro,10.0
320,2015-03-01,Tráfico de menores,9.0
321,2015-03-01,Trata de personas,12.0
322,2016-03-01,Corrupción de menores,119.0
323,2016-03-01,Extorsión,5.0
324,2016-03-01,Feminicidio,3.0
325,2016-03-01,Homicidio culposo,143.0
326,2016-03-01,Homicidio doloso,55.0
327,2016-03-01,Lesiones culposas,422.0
328,2016-03-01,Lesiones dolosas,720.0
329,2016-03-01,Otros delitos contra la sociedad,2.0
330,2016-03-01,Otros delitos que atentan contra la libertad personal,280.0
331,2016-03-01,Otros delitos que atentan contra la vida y la integridad corporal,67.0
332,2016-03-01,Rapto,18.0
333,2016-03-01,Secuestro,16.0
334,2016-03-01,Tráfico de menores,6.0
335,2016-03-01,Trata de personas,22.0
336,2017-03-01,Corrupción de menores,163.0
337,2017-03-01,Extorsión,9.0
338,2017-03-01,Feminicidio,5.0
339,2017-03-01,Homicidio culposo,152.0
340,2017-03-01,Homicidio doloso,91.0
341,2017-03-01,Lesiones culposas,281.0
342,2017-03-01,Lesiones dolosas,938.0
343,2017-03-01,Otros delitos contra la sociedad,3.0
344,2017-03-01,Otros delitos que atentan contra la libertad personal,357.0
345,2017-03-01,Otros delitos que atentan contra la vida y la integridad corporal,77.0
346,2017-03-01,Rapto,12.0
347,2017-03-01,Secuestro,8.0
348,2017-03-01,Tráfico de menores,36.0
349,2017-03-01,Trata de personas,9.0
350,2018-03-01,Corrupción de menores,114.0
351,2018-03-01,Extorsión,10.0
352,2018-03-01,Feminicidio,6.0
353,2018-03-01,Homicidio culposo,192.0
354,2018-03-01,Homicidio doloso,91.0
355,2018-03-01,Lesiones culposas,353.0
356,2018-03-01,Lesiones dolosas,874.0
357,2018-03-01,Otros delitos contra la sociedad,21.0
358,2018-03-01,Otros delitos que atentan contra la libertad personal,367.0
359,2018-03-01,Otros delitos que atentan contra la vida y la integridad corporal,82.0
360,2018-03-01,Rapto,5.0
361,2018-03-01,Secuestro,13.0
362,2018-03-01,Tráfico de menores,1.0
363,2018-03-01,Trata de personas,19.0
364,2019-03-01,Corrupción de menores,196.0
365,2019-03-01,Extorsión,15.0
366,2019-03-01,Feminicidio,10.0
367,2019-03-01,Homicidio culposo,135.0
368,2019-03-01,Homicidio doloso,87.0
369,2019-03-01,Lesiones culposas,327.0
370,2019-03-01,Lesiones dolosas,906.0
371,2019-03-01,Otros delitos contra la sociedad,64.0
372,2019-03-01,Otros delitos que atentan contra la libertad personal,470.0
373,2019-03-01,Otros delitos que atentan contra la vida y la integridad corporal,93.0
374,2019-03-01,Rapto,5.0
375,2019-03-01,Secuestro,11.0
376,2019-03-01,Tráfico de menores,0.0
377,2019-03-01,Trata de personas,7.0
378,2020-03-01,Corrupción de menores,181.0
379,2020-03-01,Extorsión,8.0
380,2020-03-01,Feminicidio,15.0
381,2020-03-01,Homicidio culposo,121.0
382,2020-03-01,Homicidio doloso,95.0
383,2020-03-01,Lesiones culposas,363.0
384,2020-03-01,Lesiones dolosas,895.0
385,2020-03-01,Otros delitos contra la sociedad,71.0
386,2020-03-01,Otros delitos que atentan contra la libertad personal,547.0
387,2020-03-01,Otros delitos que atentan contra la vida y la integridad corporal,148.0
388,2020-03-01,Rapto,4.0
389,2020-03-01,Secuestro,7.0
390,2020-03-01,Tráfico de menores,0.0
391,2020-03-01,Trata de personas,30.0
392,2021-03-01,Corrupción de menores,178.0
393,2021-03-01,Extorsión,17.0
394,2021-03-01,Feminicidio,11.0
395,2021-03-01,Homicidio culposo,121.0
396,2021-03-01,Homicidio doloso,92.0
397,2021-03-01,Lesiones culposas,430.0
398,2021-03-01,Lesiones dolosas,805.0
399,2021-03-01,Otros delitos contra la sociedad,21.0
400,2021-03-01,Otros delitos que atentan contra la libertad personal,577.0
401,2021-03-01,Otros delitos que atentan contra la vida y la integridad corporal,152.0
402,2021-03-01,Rapto,13.0
403,2021-03-01,Secuestro,3.0
404,2021-03-01,Tráfico de menores,3.0
405,2021-03-01,Trata de personas,36.0
406,2022-03-01,Corrupción de menores,241.0
407,2022-03-01,Extorsión,25.0
408,2022-03-01,Feminicidio,10.0
409,2022-03-01,Homicidio culposo,124.0
410,2022-03-01,Homicidio doloso,89.0
411,2022-03-01,Lesiones culposas,550.0
412,2022-03-01,Lesiones dolosas,971.0
413,2022-03-01,Otros delitos contra la sociedad,14.0
414,2022-03-01,Otros delitos que atentan contra la libertad personal,574.0
415,2022-03-01,Otros delitos que atentan contra la vida y la integridad corporal,243.0
416,2022-03-01,Rapto,8.0
417,2022-03-01,Secuestro,6.0
418,2022-03-01,Tráfico de menores,1.0
419,2022-03-01,Trata de personas,29.0
420,2023-03-01,Corrupción de menores,233.0
421,2023-03-01,Extorsión,28.0
422,2023-03-01,Feminicidio,4.0
423,2023-03-01,Homicidio culposo,130.0
424,2023-03-01,Homicidio doloso,65.0
425,2023-03-01,Lesiones culposas,897.0
426,2023-03-01,Lesiones dolosas,1255.0
427,2023-03-01,Otros delitos contra la sociedad,42.0
428,2023-03-01,Otros delitos que atentan contra la libertad personal,847.0
429,2023-03-01,Otros delitos que atentan contra la vida y la integridad corporal,234.0
430,2023-03-01,Rapto,10.0
431,2023-03-01,Secuestro,4.0
432,2023-03-01,Tráfico de menores,1.0
433,2023-03-01,Trata de personas,25.0
434,2024-03-01,Corrupción de menores,246.0
435,2024-03-01,Extorsión,22.0
436,2024-03-01,Feminicidio,16.0
437,2024-03-01,Homicidio culposo,142.0
438,2024-03-01,Homicidio doloso,74.0
439,2024-03-01,Lesiones culposas,651.0
440,2024-03-01,Lesiones dolosas,1149.0
441,2024-03-01,Otros delitos contra la sociedad,39.0
442,2024-03-01,Otros delitos que atentan contra la libertad personal,705.0
443,2024-03-01,Otros delitos que atentan contra la vida y la integridad corporal,221.0
444,2024-03-01,Rapto,8.0
445,2024-03-01,Secuestro,1.0
446,2024-03-01,Tráfico de menores,8.0
447,2024-03-01,Trata de personas,24.0
448,2025-03-01,Corrupción de menores,271.0
449,2025-03-01,Extorsión,27.0
450,2025-03-01,Feminicidio,7.0
451,2025-03-01,Homicidio culposo,135.0
452,2025-03-01,Homicidio doloso,70.0
453,2025-03-01,Lesiones culposas,704.0
454,2025-03-01,Lesiones dolosas,1395.0
455,2025-03-01,Otros delitos contra la sociedad,46.0
456,2025-03-01,Otros delitos que atentan contra la libertad personal,589.0
457,2025-03-01,Otros delitos que atentan contra la vida y la integridad corporal,394.0
458,2025-03-01,Rapto,5.0
459,2025-03-01,Secuestro,5.0
460,2025-03-01,Tráfico de menores,0.0
461,2025-03-01,Trata de personas,30.0
462,2015-04-01,Corrupción de menores,115.0
463,2015-04-01,Extorsión,13.0
464,2015-04-01,Feminicidio,3.0
465,2015-04-01,Homicidio culposo,138.0
466,2015-04-01,Homicidio doloso,51.0
467,2015-04-01,Lesiones culposas,570.0
468,2015-04-01,Lesiones dolosas,775.0
469,2015-04-01,Otros delitos contra la sociedad,4.0
470,2015-04-01,Otros delitos que atentan contra la libertad personal,242.0
471,2015-04-01,Otros delitos que atentan contra la vida y la integridad corporal,48.0
472,2015-04-01,Rapto,15.0
473,2015-04-01,Secuestro,9.0
474,2015-04-01,Tráfico de menores,9.0
475,2015-04-01,Trata de personas,20.0
476,2016-04-01,Corrupción de menores,126.0
477,2016-04-01,Extorsión,5.0
478,2016-04-01,Feminicidio,6.0
479,2016-04-01,Homicidio culposo,142.0
480,2016-04-01,Homicidio doloso,55.0
481,2016-04-01,Lesiones culposas,479.0
482,2016-04-01,Lesiones dolosas,765.0
483,2016-04-01,Otros delitos contra la sociedad,8.0
484,2016-04-01,Otros delitos que atentan contra la libertad personal,223.0
485,2016-04-01,Otros delitos que atentan contra la vida y la integridad corporal,45.0
486,2016-04-01,Rapto,24.0
487,2016-04-01,Secuestro,13.0
488,2016-04-01,Tráfico de menores,17.0
489,2016-04-01,Trata de personas,11.0
490,2017-04-01,Corrupción de menores,104.0
491,2017-04-01,Extorsión,3.0
492,2017-04-01,Feminicidio,4.0
493,2017-04-01,Homicidio culposo,187.0
494,2017-04-01,Homicidio doloso,90.0
495,2017-04-01,Lesiones culposas,292.0
496,2017-04-01,Lesiones dolosas,868.0
497,2017-04-01,Otros delitos contra la sociedad,3.0
498,2017-04-01,Otros delitos que atentan contra la libertad personal,257.0
499,2017-04-01,Otros delitos que atentan contra la vida y la integridad corporal,64.0
500,2017-04-01,Rapto,13.0
501,2017-04-01,Secuestro,16.0
502,2017-04-01,Tráfico de menores,11.0
503,2017-04-01,Trata de personas,14.0
504,2018-04-01,Corrupción de menores,171.0
505,2018-04-01,Extorsión,13.0
506,2018-04-01,Feminicidio,5.0
507,2018-04-01,Homicidio culposo,161.0
508,2018-04-01,Homicidio doloso,108.0
509,2018-04-01,Lesiones culposas,311.0
510,2018-04-01,Lesiones dolosas,762.0
511,2018-04-01,Otros delitos contra la sociedad,37.0
512,2018-04-01,Otros delitos que atentan contra la libertad personal,380.0
513,2018-04-01,Otros delitos que atentan contra la vida y la integridad corporal,135.0
514,2018-04-01,Rapto,6.0
515,2018-04-01,Secuestro,9.0
516,2018-04-01,Tráfico de menores,4.0
517,2018-04-01,Trata de personas,11.0
518,2019-04-01,Corrupción de menores,168.0
519,2019-04-01,Extorsión,12.0
520,2019-04-01,Feminicidio,7.0
521,2019-04-01,Homicidio culposo,123.0
522,2019-04-01,Homicidio doloso,101.0
523,2019-04-01,Lesiones culposas,309.0
524,2019-04-01,Lesiones dolosas,904.0
525,2019-04-01,Otros delitos contra la sociedad,55.0
526,2019-04-01,Otros delitos que atentan contra la libertad personal,440.0
527,2019-04-01,Otros delitos que atentan contra la vida y la integridad corporal,97.0
528,2019-04-01,Rapto,8.0
529,2019-04-01,Secuestro,13.0
530,2019-04-01,Tráfico de menores,2.0
531,2019-04-01,Trata de personas,14.0
532,2020-04-01,Corrupción de menores,99.0
533,2020-04-01,Extorsión,12.0
534,2020-04-01,Feminicidio,9.0
